year;Ecart Global;Ecart Rabat
1750;0,350526316;
1751;-0,389473684;
1752;-2,589473684;
1753;0,020526316;-0,012030651
1754;0,100526316;0,147969349
1755;-0,009473684;-0,162030651
1756;0,480526316;0,207969349
1757;0,650526316;0,097969349
1758;-1,629473684;-1,432030651
1759;-0,379473684;-0,312030651
1760;-1,179473684;-0,942030651
1761;0,400526316;0,087969349
1762;0,240526316;0,087969349
1763;-0,869473684;-0,772030651
1764;0,030526316;0,087969349
1765;-0,119473684;0,107969349
1766;0,040526316;0,117969349
1767;-0,149473684;0,097969349
1768;-1,589473684;-0,952030651
1769;-0,679473684;-0,202030651
1770;-0,679473684;-0,342030651
1771;-0,519473684;0,177969349
1772;-0,179473684;0,627969349
1773;-0,149473684;-0,152030651
1774;0,400526316;0,517969349
1775;0,810526316;0,627969349
1776;-0,069473684;0,017969349
1777;-0,109473684;-0,212030651
1778;0,170526316;0,047969349
1779;0,610526316;0,197969349
1780;1,060526316;0,897969349
1781;-0,269473684;0,067969349
1782;-0,469473684;-0,492030651
1783;-0,689473684;-0,352030651
1784;-0,509473684;-0,192030651
1785;-1,009473684;-0,512030651
1786;-0,109473684;0,017969349
1787;-0,339473684;-0,032030651
1788;0,080526316;0,517969349
1789;-0,039473684;-0,702030651
1790;-0,389473684;-0,012030651
1791;-0,139473684;0,087969349
1792;-0,279473684;0,067969349
1793;-0,139473684;0,037969349
1794;0,160526316;-0,252030651
1795;-0,019473684;0,197969349
1796;-0,099473684;-0,052030651
1797;0,140526316;-0,252030651
1798;0,300526316;0,157969349
1799;0,140526316;-0,052030651
1800;0,110526316;0,567969349
1801;0,220526316;0,267969349
1802;0,210526316;0,477969349
1803;0,130526316;0,187969349
1804;0,470526316;0,637969349
1805;0,190526316;-0,012030651
1806;0,060526316;0,017969349
1807;-0,089473684;-0,312030651
1808;-0,739473684;-0,922030651
1809;-1,289473684;-1,022030651
1810;-1,449473684;-1,372030651
1811;-1,509473684;-1,202030651
1812;-1,319473684;-1,042030651
1813;-0,629473684;-0,822030651
1814;-0,779473684;-1,042030651
1815;-1,129473684;-0,762030651
1816;-1,429473684;-1,122030651
1817;-1,389473684;-0,002030651
1818;-0,539473684;0,137969349
1819;-0,999473684;-0,582030651
1820;-0,749473684;-0,692030651
1821;-0,279473684;0,127969349
1822;-0,179473684;-0,202030651
1823;-0,649473684;-0,252030651
1824;0,180526316;0,057969349
