year,city,avg_temp
1753,Rabat,17.31
1754,Rabat,17.47
1755,Rabat,17.16
1756,Rabat,17.53
1757,Rabat,17.42
1758,Rabat,15.89
1759,Rabat,17.01
1760,Rabat,16.38
1761,Rabat,17.41
1762,Rabat,17.41
1763,Rabat,16.55
1764,Rabat,17.41
1765,Rabat,17.43
1766,Rabat,17.44
1767,Rabat,17.42
1768,Rabat,16.37
1769,Rabat,17.12
1770,Rabat,16.98
1771,Rabat,17.50
1772,Rabat,17.95
1773,Rabat,17.17
1774,Rabat,17.84
1775,Rabat,17.95
1776,Rabat,17.34
1777,Rabat,17.11
1778,Rabat,17.37
1779,Rabat,17.52
1780,Rabat,18.22
1781,Rabat,17.39
1782,Rabat,16.83
1783,Rabat,16.97
1784,Rabat,17.13
1785,Rabat,16.81
1786,Rabat,17.34
1787,Rabat,17.29
1788,Rabat,17.84
1789,Rabat,16.62
1790,Rabat,17.31
1791,Rabat,17.41
1792,Rabat,17.39
1793,Rabat,17.36
1794,Rabat,17.07
1795,Rabat,17.52
1796,Rabat,17.27
1797,Rabat,17.07
1798,Rabat,17.48
1799,Rabat,17.27
1800,Rabat,17.89
1801,Rabat,17.59
1802,Rabat,17.80
1803,Rabat,17.51
1804,Rabat,17.96
1805,Rabat,17.31
1806,Rabat,17.34
1807,Rabat,17.01
1808,Rabat,16.40
1809,Rabat,16.30
1810,Rabat,15.95
1811,Rabat,16.12
1812,Rabat,16.28
1813,Rabat,16.50
1814,Rabat,16.28
1815,Rabat,16.56
1816,Rabat,16.20
1817,Rabat,17.32
1818,Rabat,17.46
1819,Rabat,16.74
1820,Rabat,16.63
1821,Rabat,17.45
1822,Rabat,17.12
1823,Rabat,17.07
1824,Rabat,17.38
1825,Rabat,17.25
1826,Rabat,17.13
1827,Rabat,17.09
1828,Rabat,17.20
1829,Rabat,16.99
1830,Rabat,17.33
1831,Rabat,17.43
1832,Rabat,16.84
1833,Rabat,16.89
1834,Rabat,17.73
1835,Rabat,16.77
1836,Rabat,17.02
1837,Rabat,17.08
1838,Rabat,17.22
1839,Rabat,16.92
1840,Rabat,17.06
1841,Rabat,16.99
1842,Rabat,17.20
1843,Rabat,17.27
1844,Rabat,17.00
1845,Rabat,16.72
1846,Rabat,17.50
1847,Rabat,17.23
1848,Rabat,16.66
1849,Rabat,17.12
1850,Rabat,17.39
1851,Rabat,17.59
1852,Rabat,17.42
1853,Rabat,16.90
1854,Rabat,16.85
1855,Rabat,16.70
1856,Rabat,17.01
1857,Rabat,16.78
1858,Rabat,17.55
1859,Rabat,17.12
1860,Rabat,17.03
1861,Rabat,17.40
1862,Rabat,17.16
1863,Rabat,16.87
1864,Rabat,17.44
1865,Rabat,17.31
1866,Rabat,17.21
1867,Rabat,17.68
1868,Rabat,17.13
1869,Rabat,17.18
1870,Rabat,17.42
1871,Rabat,17.11
1872,Rabat,17.14
1873,Rabat,17.17
1874,Rabat,17.26
1875,Rabat,17.22
1876,Rabat,17.38
1877,Rabat,17.42
1878,Rabat,17.46
1879,Rabat,16.82
1880,Rabat,16.93
1881,Rabat,17.72
1882,Rabat,17.03
1883,Rabat,16.82
1884,Rabat,16.93
1885,Rabat,16.60
1886,Rabat,16.84
1887,Rabat,17.06
1888,Rabat,16.84
1889,Rabat,16.46
1890,Rabat,16.55
1891,Rabat,16.77
1892,Rabat,17.11
1893,Rabat,17.71
1894,Rabat,16.92
1895,Rabat,17.77
1896,Rabat,16.76
1897,Rabat,17.60
1898,Rabat,17.16
1899,Rabat,18.14
1900,Rabat,17.28
1901,Rabat,17.06
1902,Rabat,17.08
1903,Rabat,16.90
1904,Rabat,17.28
1905,Rabat,17.06
1906,Rabat,17.02
1907,Rabat,16.68
1908,Rabat,17.24
1909,Rabat,16.91
1910,Rabat,16.93
1911,Rabat,16.88
1912,Rabat,17.04
1913,Rabat,17.21
1914,Rabat,16.98
1915,Rabat,17.13
1916,Rabat,16.97
1917,Rabat,16.62
1918,Rabat,16.86
1919,Rabat,16.98
1920,Rabat,17.53
1921,Rabat,17.28
1922,Rabat,17.20
1923,Rabat,17.09
1924,Rabat,17.49
1925,Rabat,16.86
1926,Rabat,17.99
1927,Rabat,17.54
1928,Rabat,17.43
1929,Rabat,17.58
1930,Rabat,17.53
1931,Rabat,17.17
1932,Rabat,16.85
1933,Rabat,17.28
1934,Rabat,16.90
1935,Rabat,17.16
1936,Rabat,17.08
1937,Rabat,17.68
1938,Rabat,17.46
1939,Rabat,17.09
1940,Rabat,17.82
1941,Rabat,17.44
1942,Rabat,17.51
1943,Rabat,17.60
1944,Rabat,17.29
1945,Rabat,18.20
1946,Rabat,17.23
1947,Rabat,17.86
1948,Rabat,17.92
1949,Rabat,18.08
1950,Rabat,17.87
1951,Rabat,17.28
1952,Rabat,17.45
1953,Rabat,17.86
1954,Rabat,17.18
1955,Rabat,18.64
1956,Rabat,16.59
1957,Rabat,17.24
1958,Rabat,17.62
1959,Rabat,17.39
1960,Rabat,17.49
1961,Rabat,18.32
1962,Rabat,17.78
1963,Rabat,17.54
1964,Rabat,17.70
1965,Rabat,17.36
1966,Rabat,17.40
1967,Rabat,17.17
1968,Rabat,17.55
1969,Rabat,17.32
1970,Rabat,17.60
1971,Rabat,16.73
1972,Rabat,16.38
1973,Rabat,17.19
1974,Rabat,16.98
1975,Rabat,17.02
1976,Rabat,16.95
1977,Rabat,17.23
1978,Rabat,17.63
1979,Rabat,17.47
1980,Rabat,17.66
1981,Rabat,17.92
1982,Rabat,17.44
1983,Rabat,17.93
1984,Rabat,17.25
1985,Rabat,18.02
1986,Rabat,17.43
1987,Rabat,18.21
1988,Rabat,17.87
1989,Rabat,18.44
1990,Rabat,18.29
1991,Rabat,17.47
1992,Rabat,17.56
1993,Rabat,17.11
1994,Rabat,17.98
1995,Rabat,18.72
1996,Rabat,17.97
1997,Rabat,18.65
1998,Rabat,18.24
1999,Rabat,17.88
2000,Rabat,18.14
2001,Rabat,18.56
2002,Rabat,18.19
2003,Rabat,18.41
2004,Rabat,18.21
2005,Rabat,18.15
2006,Rabat,18.51
2007,Rabat,17.99
2008,Rabat,17.96
2009,Rabat,18.73
